"104443","01015002340402901101","4","120"
"104444","01015002340402903101","4","100"
"104445","01015002340402904101","1","60"
"104446","01015002350103203102","4","50"
"104447","01015002350103204102","4","160"
"104448","01015002350103206102","4","60"
"104449","01015002350103207102","4","80"
"104450","01015002370202602102","4","30"
"104451","01015002370202603102","4","120"
"104452","01015002370202604102","1","60"
"104453","01015002370202606102","4","80"
"104454","01015002410104101102","4","60"
"104455","01015002410104103102","4","100"
"104456","01015002410104105102","4","140"
"104457","01015002410104106102","4","50"
"104458","01015002410104108102","4","50"
"104459","01015002460202501101","4","30"
"104460","01015002460202503101","2","80"
"104461","01015002460202504101","2","100"
"104462","01015002460202505101","4","40"
"104463","01015002460202507101","2","75"
"104464","01015002470103401103","4","120"
"104465","01015002470103402103","4","60"
"104466","01015002470103404103","4","60"
"104467","01015002470103405103","4","40"
"104468","01015002470103406103","4","100"
"104469","01015002470103407103","3","100"
"104470","01015002510102701103","4","25"
"104471","01015002510102702103","1","30"
"104472","01015002510102703103","1","40"
"104473","01015002510102704103","4","60"
"104474","01015002510102707103","4","25"
"104475","01015002510202903101","2","60"
"104476","01015002510202908101","1","100"
"104477","01015002530104101102","3","75"
"104478","01015002530104104102","3","60"
"104479","01015002530104107102","4","80"
"104480","01015002530104108102","4","50"
"104481","01015002590103401103","4","60"
"104482","01015002590103402103","4","100"
"104483","01015002590103403103","4","100"
"104484","01015002590103406103","4","60"
"104485","01015002590103407103","4","30"
"104486","01015002590103408103","4","70"
"104487","01015002590503102102","4","80"
"104488","01015002590503103102","4","70"
"104489","01015002590503105102","4","45"
"104490","01015002640502903101","4","50"
"104491","01015002640502904101","4","25"
"104492","01015002640502905101","4","30"
"104493","01015002640502907101","4","35"
"104494","01015002750203702101","4","40"
"104495","01015002750203703101","4","60"
"104496","01015002750203704101","4","100"
"104497","01015002750203706101","4","20"
"104498","01015002750203707101","4","160"
"104499","01015002770102501101","4","80"
"104500","01015002770102504101","4","60"
"104501","01015002770102506101","4","40"
"104502","01015002770102507101","4","50"
"104503","01015002770203501103","4","40"
"104504","01015002770203502103","1","40"
"104505","01015002770203505103","4","80"
"104506","01015002770203508103","4","60"
"104507","01015002790202601102","1","100"
"104508","01015002790202602102","4","40"
"104509","01015002790202603102","4","80"
"104510","01015002790202604102","1","100"
"104511","01015002790202605102","4","30"
"104512","01015002790202606102","1","40"
"104513","01015002790303504103","4","70"
"104514","01015002790303505103","4","80"
"104515","01015002810202802101","4","50"
"104516","01015002810202804101","4","40"
"104517","01015002810202805101","4","45"
"104518","01015002810202807101","4","50"
"104519","01015002830102601102","4","60"
"104520","01015002830102605102","4","80"
"104521","01015002830102607102","4","50"
"104522","01015002830102610102","4","50"
"104523","01015002880203103102","1","150"
"104524","01015002880203104102","4","28"
"104525","01015002880203105102","1","0"
"104526","01015002880203107102","4","60"
"104527","01015002910103503103","1","50"
"104528","01015002910103505103","4","80"
"104529","01015002980203401103","1","30"
"104530","01015002980203402103","1","70"
"104531","01015002980203405103","3","30"
"104532","01015002980203406103","1","25"
"104533","01015002980203408103","3","10"
"104534","01015002990402505101","4","50"
"104535","01015002990402506101","4","60"
"104536","01015002990402507101","4","60"
"104537","01015003060103402103","4","70"
"104538","01015003060103403103","2","60"
"104539","01015003060103405103","2","60"
"104540","01015003060103406103","4","130"
"104541","01015003060103407103","4","50"
"104542","01015003070302904101","4","30"
"104543","01015003070302907101","4","25"
"104544","01015003090203701101","3","50"
"104545","01015003090203702101","4","125"
"104546","01015003090203703101","4","60"
"104547","01015003090203704101","3","50"
"104548","01015003090203705101","4","40"
"104549","01015003090203706101","3","60"
"104550","01015003090203707101","4","150"
"104551","01015003100104101102","4","30"
"104552","01015003100104102102","4","100"
"104553","01015003100104103102","4","80"
"104554","01015003100104104102","4","30"
"104555","01015003130103402103","4","180"
"104556","01015003130103406103","4","90"
"104557","01015003130103407103","4","120"
"104558","01015003140303201102","4","30"
"104559","01015003140303202102","4","50"
"104560","01015003140303203102","2","60"
"104561","01015003140303207102","3","45"
"104562","01015003210203402103","4","20"
"104563","01015003210203406103","4","80"
"104564","01015003210203407103","4","80"
"104565","01015003210203408103","4","60"
"104566","01015003210203410103","4","30"
"104567","01015003240202605102","4","80"
"104568","01015003240202606102","4","50"
"104569","01015003240202607102","4","80"
"104570","01015003280102901101","4","120"
"104571","01015003280102902101","4","40"
"104572","01015003280102903101","4","150"
"104573","01015003280102906101","4","420"
"104574","01015003300203502103","4","40"
"104575","01015003300203503103","1","10"
"104576","01015003300203505103","4","50"
"104577","01015003300203506103","2","30"
"104578","01015003300203507103","4","45"
"104579","01015003300203509103","4","30"
"104580","01015003310102601102","3","50"
"104581","01015003310102602102","3","30"
"104582","01015003310102606102","4","20"
"104583","01015003330303708101","4","40"
"104584","01015003430104202103","4","80"
"104585","01015003430104204103","4","70"
"104586","01015003430104207103","4","60"
"104587","01015003430104208103","4","160"
"104588","01015003520104104102","4","60"
"104589","01015003520104107102","4","120"
"104590","01015003520104108102","4","50"
