"01015000170602909101",\N,"1",\N,"0","0","150","3","2","1",\N,\N,"1","2","1","1","4","3","3","2","2","2","1","1","1","1","0101500017060290901"
"01015000210303401103",\N,"1",\N,"0","0","100","2","1","0",\N,\N,"1","2","3","1","2","1","6","2","2","2","1","1","1","1","0101500021030340103"
"01015000210303402103","1","1","1","0","0","500","5","3","0",\N,\N,"1","2","4","1","2","1","2","1","1","1","1","1","1","1","0101500021030340203"
"01015000210303403103",\N,"1",\N,"0","0","120","4","2","0",\N,\N,"1","2","1","1","1","3","6","3","2","3","1","1","1","1","0101500021030340303"
"01015000210303404103","1","1",\N,"0","0","200","6","4","0",\N,\N,"1","2","4","1","1","1","4","2","2","2","1","1","1","1","0101500021030340403"
"01015000210303405103",\N,"1",\N,"0","0","200","3","2","0",\N,\N,"1","2","1","1","2","1","6","1","1","1","1","1","1","1","0101500021030340503"
"01015000210303406103",\N,"1",\N,"0","0","300","5","4","0",\N,\N,"1","2","1","1","1","1","4","2","2","2","1","1","1","1","0101500021030340603"
"01015000210303409103",\N,"1",\N,"0","0","200","3","2","0",\N,\N,"1","2","1","1","2","1","2","2","1","1","1","1","1","1","0101500021030340903"
"01015000320302801101","2","1",\N,"0","0","500","6","5","0",\N,\N,"1","2","4","1","2","1","3","1","1","2","1","1","1","1","0101500032030280101"
"01015000320302802101","1","1",\N,"0","0","250","4","3","0",\N,\N,"1","3","4","1","2","1","2","1","1","2","1","1","1","1","0101500032030280201"
"01015000320302803101",\N,"1","1","0","0","350","4","3","0",\N,\N,"1","2","1","1","2","1","2","1","1","1","1","1","1","1","0101500032030280301"
"01015000320302804101","1","1",\N,"0","0","250","4","3","0",\N,\N,"1","2","4","1","1","1","4","2","2","2","1","1","1","1","0101500032030280401"
"01015000320302805101",\N,"1","1","0","0","220","3","2","0",\N,\N,"1","2","1","1","2","1","1","1","1","1","1","1","1","1","0101500032030280501"
"01015000320302806101","1","1",\N,"1","0","250","3","2","0",\N,\N,"1","2","1","1","2","1","1","1","1","1","1","1","1","1","0101500032030280601"
"01015000320302807101","1","1",\N,"0","0","400","5","3","0",\N,\N,"1","2","4","1","2","1","4","1","1","1","1","1","1","1","0101500032030280701"
"01015000330202701103","1","1",\N,"0","0","500","4","3","0",\N,\N,"1","2","4","1","4","3","4","2","2","2","1","1","1","1","0101500033020270103"
"01015000330202702103",\N,"1",\N,"0","0","100","3","2","0",\N,\N,"1","2","6","1","2","1","6","1","1","1","1","1","1","1","0101500033020270203"
"01015000330202703103","2","1",\N,"0","0","400","7","5","0",\N,\N,"1","2","4","1","2","1","4","1","1","1","1","1","1","1","0101500033020270303"
"01015000330202704103",\N,"1",\N,"0","0","120","5","4","0",\N,\N,"1","2","1","1","2","2","2","1","2","1","1","1","1","1","0101500033020270403"
"01015000330202705103",\N,"1","1","0","0","200","4","3","0",\N,\N,"1","2","5","1","4","1","2","2","2","2","1","1","1","1","0101500033020270503"
"01015000330202706103","1","1",\N,"0","0","250","4","3","0",\N,\N,"1","2","4","1","2","1","4","1","2","1","1","1","1","1","0101500033020270603"
"01015000330202707103","1","1",\N,"0","0","400","4","2","0",\N,\N,"1","3","4","1","2","1","4","2","2","2","1","1","1","1","0101500033020270703"
"01015000360204101102",\N,"1","1","0","0","100","3","2","0",\N,\N,"1","2","5","1","1","1","3","1","1","1","1","1","1","1","0101500036020410102"
"01015000360204102102","2","1",\N,"0","0","700","5","3","0",\N,\N,"1","2","4","3","2","1","1","1","1","1","1","1","3","1","0101500036020410202"
"01015000360204103102",\N,"1",\N,"0","0","100","3","2","1",\N,\N,"1","2","4","1","1","3","4","2","2","2","1","1","1","1","0101500036020410302"
"01015000360204104102",\N,"1",\N,"0","0","100","3","2","0",\N,\N,"1","2","1","1","4","3","6","2","2","2","1","1","1","1","0101500036020410402"
"01015000360204106102","1","1","2","0","0","300","3","2","0",\N,\N,"1","2","4","1","2","1","4","2","1","2","1","1","1","1","0101500036020410602"
"01015000360204108102",\N,"1",\N,"0","0","200","4","3","0",\N,\N,"1","2","1","1","1","1","2","2","2","3","1","1","1","1","0101500036020410802"
"01015000360204109102",\N,"1",\N,"0","0","100","3","1","0",\N,\N,"2","2","4","1","4","3","2","1","2","3","1","1","1","1","0101500036020410902"
"01015000380602501101",\N,"1",\N,"0","0","500","4","3","0",\N,\N,"1","2","4","1","1","1","1","1","1","1","1","1","3","1","0101500038060250101"
"01015000380602502101","1","1",\N,"0","0","400","5","3","0",\N,\N,"1","2","4","1","2","1","4","1","1","3","1","1","1","1","0101500038060250201"
